effective_defense,structural_role,outcome,blocks,mean,sd_across_blocks
hamp_full,repetition,task_average_precision,8,0.34978446726000967,0.03053761937649647
hamp_full,repetition,minority_class_recall,8,0.6060520361990951,0.14938216178157188
hamp_full,repetition,prediction_collapse,8,0.0,0.0
hamp_full,repetition,nll,8,0.6062988415360451,0.007772184133526176
hamp_full,stress,accuracy,8,0.651375,0.12424795198082167
hamp_full,stress,balanced_accuracy,8,0.5841950609610883,0.02867403136547385
hamp_full,stress,task_roc_auc,8,0.6033923400751631,0.02844822896326967
hamp_full,stress,task_average_precision,8,0.312069760575363,0.029344584732925384
hamp_full,stress,minority_class_recall,8,0.4638009049773755,0.19581762111737824
hamp_full,stress,prediction_collapse,8,0.0,0.0
hamp_full,stress,nll,8,0.6184528917074203,0.009413410286579516
hamp_output,low,accuracy,8,0.583,0.06615242140045108
hamp_output,low,balanced_accuracy,8,0.6192113830819185,0.03293270044656919
hamp_output,low,task_roc_auc,8,0.6490042453487764,0.04590164248356369
hamp_output,low,task_average_precision,8,0.34344732355950275,0.061051029539955406
hamp_output,low,minority_class_recall,8,0.684106334841629,0.10390319217481542
hamp_output,low,prediction_collapse,8,0.0,0.0
hamp_output,low,nll,8,0.5344747453927994,0.028143807636890054
hamp_output,repetition,accuracy,8,0.665375,0.07289461571337078
hamp_output,repetition,balanced_accuracy,8,0.6255928385968785,0.0184497635528869
hamp_output,repetition,task_roc_auc,8,0.6457314713433512,0.029811915039533773
hamp_output,repetition,task_average_precision,8,0.36396580094477055,0.028991343435077113
hamp_output,repetition,minority_class_recall,8,0.5542986425339367,0.13839793884323187
hamp_output,repetition,prediction_collapse,8,0.0,0.0
hamp_output,repetition,nll,8,0.6178086027503014,0.06932386832988212
hamp_output,stress,accuracy,8,0.5996874999999999,0.11111574965516172
hamp_output,stress,balanced_accuracy,8,0.5947755780993151,0.022786565092000433
hamp_output,stress,task_roc_auc,8,0.6197101952265058,0.029129926363930553
hamp_output,stress,task_average_precision,8,0.32983357136246233,0.027142000444996185
hamp_output,stress,minority_class_recall,8,0.5859728506787331,0.18267241892136846
hamp_output,stress,prediction_collapse,8,0.0,0.0
hamp_output,stress,nll,8,0.6805446818470955,0.06813490452008669
hamp_train,low,accuracy,8,0.5878125000000001,0.0958767577600089
hamp_train,low,balanced_accuracy,8,0.6243260227464147,0.03953417490885714
hamp_train,low,task_roc_auc,8,0.6730945303469468,0.03527910521370544
hamp_train,low,task_average_precision,8,0.3616547312613805,0.04531734002620482
hamp_train,low,minority_class_recall,8,0.689762443438914,0.10374472388971574
hamp_train,low,prediction_collapse,8,0.0,0.0
hamp_train,low,nll,8,0.6060918942093849,0.008227094763709551
hamp_train,repetition,accuracy,8,0.6210625000000001,0.08732796864202702
